date,time,sleep_state,end_time,duration_minutes
2025-11-18,01:13:30,Awake,01:23:30,10.0
2025-11-18,01:23:30,notInBed,01:24:30,1.0
2025-11-18,01:24:30,Awake,01:27:30,3.0
2025-11-18,01:27:30,notInBed,01:29:30,2.0
2025-11-18,01:29:30,Awake,02:15:55,46.0
2025-11-18,02:15:55,Core Sleep,02:26:38,10.7
2025-11-18,02:26:38,Deep Sleep,03:09:41,43.0
2025-11-18,03:09:41,Core Sleep,03:26:42,17.0
2025-11-18,03:09:41,Disturbance,03:13:11,3.5
2025-11-18,03:26:42,REM Sleep,03:35:13,8.5
2025-11-18,03:35:13,Core Sleep,03:44:13,9.0
2025-11-18,03:44:13,Deep Sleep,04:02:15,18.0
2025-11-18,04:02:15,Awake,04:06:15,4.0
2025-11-18,04:06:15,Core Sleep,04:06:45,0.5
2025-11-18,04:06:45,REM Sleep,04:08:45,2.0
2025-11-18,04:08:45,Core Sleep,04:15:46,7.0
2025-11-18,04:15:46,Deep Sleep,04:31:17,15.5
2025-11-18,04:31:17,Core Sleep,04:42:18,11.0
2025-11-18,04:42:18,REM Sleep,04:45:49,3.5
2025-11-18,04:45:49,Core Sleep,04:50:19,4.5
2025-11-18,04:50:19,REM Sleep,05:04:19,14.0
2025-11-18,05:04:19,Core Sleep,05:13:50,9.5
2025-11-18,05:13:50,Deep Sleep,05:16:21,2.5
2025-11-18,05:16:21,Core Sleep,05:21:51,5.5
2025-11-18,05:21:51,Deep Sleep,05:38:53,17.0
2025-11-18,05:38:53,Core Sleep,06:08:25,29.5
2025-11-18,05:39:23,Disturbance,05:40:23,1.0
2025-11-18,05:46:24,Disturbance,05:46:54,0.5
2025-11-18,05:47:54,Disturbance,05:48:24,0.5
2025-11-18,06:08:25,REM Sleep,06:18:56,10.5
2025-11-18,06:18:56,Core Sleep,06:37:28,18.5
2025-11-18,06:37:28,Deep Sleep,06:41:28,4.0
2025-11-18,06:41:28,Core Sleep,07:12:00,30.5
2025-11-18,07:06:30,Disturbance,07:07:30,1.0
2025-11-18,07:12:00,REM Sleep,07:17:01,5.0
2025-11-18,07:17:01,Core Sleep,07:28:02,11.0
2025-11-18,07:28:02,REM Sleep,07:34:32,6.5
2025-11-18,07:34:32,Core Sleep,08:10:05,35.6
2025-11-18,07:41:03,Disturbance,07:41:33,0.5
2025-11-18,08:00:34,Disturbance,08:01:34,1.0
2025-11-18,08:06:35,Disturbance,08:07:35,1.0
2025-11-18,08:10:05,Awake,08:28:07,18.0
2025-11-18,08:28:07,Core Sleep,09:03:38,35.5
2025-11-18,09:03:38,REM Sleep,09:09:39,6.0
2025-11-18,09:09:39,Core Sleep,09:25:10,15.5
2025-11-18,09:09:39,Disturbance,09:12:39,3.0
2025-11-18,09:25:10,REM Sleep,09:31:11,6.0
2025-11-18,09:31:11,Awake,09:36:11,5.0
2025-11-18,09:36:11,REM Sleep,09:49:42,13.5
